#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-02-17T13:40:33 [V7.5.4]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-02-17T13:40:33	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=J/AJ/152/157/table2&-out.max=10000	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.4	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_51520157
#Name: J/AJ/152/157
#Title: Mass models for 175 disk galaxies with SPARC (Lelli+, 2016)
#INFO	ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/aj/152/157	    IVOID of underlying data collection
#INFO	creator=Lelli F.	    First author or institution
#INFO	cites=bibcode:2016AJ....152..157L	    Article or Data origin sources
#INFO	journal=AJ	    Journal name
#INFO	original_date=2016	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/152/157	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.51520157	    Dataset identifier that can be used for citation
#INFO	publication_date=2017-10-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_AJ_152_157_table2:
#Name: J/AJ/152/157/table2
#Title: Mass models
#Column	Name	(a11)	Galaxy identifier	[ucd=meta.id;meta.main]
#Column	Dist	(F6.2)	[0.98/127.8] Assumed distance	[ucd=pos.distance;pos.heliocentric]
#Column	Rad	(F6.2)	[0.08/108.31] Galactocentric radius	[ucd=phys.size.radius;pos.galactocentric]
#Column	Vobs	(F6.2)	[1.4/383] Observed circular velocity (V_obs_)	[ucd=phys.veloc]
#Column	e_Vobs	(F5.2)	[0.2/75] Uncertainty in Vobs (1)	[ucd=stat.error]
#Column	Vgas	(F6.2)	[-17/87] Gas velocity contribution (V_gas_) (2)	[ucd=phys.veloc]
#Column	Vdisk	(F6.2)	[1/372] Disk velocity contribution V_disk_ (3)	[ucd=phys.veloc]
#Column	SBdisk	(F7.2)	[0/7394] Disk surface brightness {Sigma}_disk_	[ucd=phot.flux.sb]
Name	Dist	Rad	Vobs	e_Vobs	Vgas	Vdisk	SBdisk
NGC2403    	  3.16	  1.57	 90.30	 1.41	  5.98	 90.77	 286.72
NGC2403    	  3.16	  1.67	 93.30	 1.60	  6.21	 93.98	 271.01
NGC2403    	  3.16	  1.77	 93.30	 1.41	  6.42	 96.86	 252.38
NGC2403    	  3.16	  1.87	 95.20	 1.25	  6.61	 99.21	 231.06
NGC2403    	  3.16	  1.97	 97.20	 1.60	  6.81	101.42	 214.50
NGC2403    	  3.16	  2.08	 99.10	 2.02	  7.01	103.79	 203.15
NGC2403    	  3.16	  2.18	 98.20	 2.02	  7.27	106.07	 177.77
NGC2403    	  3.16	  2.28	 98.20	 1.60	  7.54	106.73	 143.26
NGC2403    	  3.16	  2.37	 98.20	 1.00	  7.81	106.19	 125.45
NGC2403    	  3.16	  2.47	 97.20	 1.12	  8.25	105.57	 115.50
NGC2403    	  3.16	  2.57	 98.20	 1.41	  8.77	105.08	 108.64
NGC2403    	  3.16	  2.68	 98.20	 1.12	  9.31	104.39	  99.02
NGC2403    	  3.16	  2.78	 98.20	 1.60	  9.95	103.80	  91.66
NGC2403    	  3.16	  2.88	 99.10	 2.69	 10.97	103.16	  86.76
NGC2403    	  3.16	  2.98	100.00	 2.69	 11.96	102.68	  83.79
NGC2403    	  3.16	  3.08	102.00	 3.16	 13.06	102.46	  81.80
NGC2403    	  3.16	  3.19	101.00	 3.40	 14.06	102.29	  78.36
NGC2403    	  3.16	  3.29	101.00	 3.40	 15.05	102.51	  75.36
NGC2403    	  3.16	  3.39	103.00	 2.93	 16.15	102.82	  71.99
NGC2403    	  3.16	  3.49	107.00	 2.46	 17.15	103.06	  67.49
NGC2403    	  3.16	  3.59	110.00	 2.46	 18.14	102.95	  62.39
NGC2403    	  3.16	  3.69	112.00	 3.40	 19.24	103.12	  56.77
NGC2403    	  3.16	  3.79	114.00	 5.10	 20.24	102.93	  52.43
NGC2403    	  3.16	  3.90	118.00	 5.10	 21.03	102.50	  47.97
NGC2403    	  3.16	  3.99	118.00	 4.85	 21.83	101.99	  44.58
NGC2403    	  3.16	  4.47	118.00	 5.36	 25.72	 99.49	  31.94
NGC2403    	  3.16	  4.97	121.00	 2.57	 27.81	 97.06	  24.17
NGC2403    	  3.16	  5.47	124.00	 0.22	 29.41	 94.40	  15.97
NGC2403    	  3.16	  5.96	125.00	 0.88	 30.70	 91.13	  11.31
NGC2403    	  3.16	  6.46	126.00	 0.45	 31.70	 87.90	   7.90
NGC2403    	  3.16	  6.96	126.00	 0.55	 33.29	 84.95	   5.51
NGC2403    	  3.16	  7.45	126.00	 0.45	 34.99	 81.98	   3.88
NGC2403    	  3.16	  7.95	126.00	 0.24	 36.58	 79.11	   2.71
NGC2403    	  3.16	  8.45	127.00	 1.45	 38.38	 76.42	   1.90
NGC2403    	  3.16	  8.94	128.00	 1.12	 39.97	 74.09	   1.34
NGC2403    	  3.16	  9.44	128.00	 1.68	 41.47	 71.75	   0.93
NGC2403    	  3.16	  9.94	127.00	 2.56	 42.57	 69.58	   0.65
NGC2403    	  3.16	 10.43	127.00	 1.24	 43.96	 67.61	   0.46
NGC2403    	  3.16	 10.93	128.00	 0.21	 45.06	 65.75	   0.32
NGC2403    	  3.16	 11.43	130.00	 1.13	 45.76	 64.12	   0.22
NGC2403    	  3.16	 11.92	130.00	 2.23	 46.15	 62.55	   0.16
NGC2403    	  3.16	 12.42	132.00	 2.68	 46.65	 61.06	   0.11
NGC2403    	  3.16	 12.92	133.00	 2.68	 46.95	 59.67	   0.08
NGC2403    	  3.16	 13.42	133.00	 3.37	 46.75	 58.37	   0.05
NGC2403    	  3.16	 13.91	133.00	 3.81	 46.25	 57.26	   0.04
NGC2403    	  3.16	 14.41	133.00	 2.56	 45.95	 56.12	   0.03
NGC2403    	  3.16	 14.91	134.00	 0.56	 45.66	 55.05	   0.02
NGC2403    	  3.16	 15.40	134.00	 0.79	 45.26	 54.06	   0.01
NGC2403    	  3.16	 15.90	133.00	 0.67	 44.76	 53.11	   0.01
NGC2403    	  3.16	 16.40	134.00	 2.35	 44.16	 52.26	   0.01
NGC2403    	  3.16	 16.89	134.00	 4.13	 43.36	 51.43	   0.00
NGC2403    	  3.16	 17.39	136.00	 3.91	 42.67	 50.61	   0.00
NGC2403    	  3.16	 17.89	136.00	 6.38	 41.87	 49.84	   0.00
NGC2403    	  3.16	 18.38	135.00	 8.39	 41.07	 49.16	   0.00
NGC2403    	  3.16	 18.88	133.00	 7.83	 40.27	 48.46	   0.00
NGC2403    	  3.16	 19.38	134.00	 6.26	 39.87	 47.78	   0.00
NGC2403    	  3.16	 19.87	136.00	 5.60	 39.87	 47.15	   0.00
NGC2403    	  3.16	 20.37	135.00	 5.24	 39.87	 46.52	   0.00
NGC2403    	  3.16	 20.87	134.00	 3.12	 39.87	 45.97	   0.00
NGC2683    	  9.81	  2.89	189.00	10.00	  7.68	203.92	 755.39
NGC2683    	  9.81	  5.77	212.00	 5.00	 21.36	229.24	 149.71
NGC2683    	  9.81	  8.66	206.00	 5.00	 17.89	197.87	  56.22
NGC2683    	  9.81	 11.54	200.00	 5.00	 24.41	185.00	  16.10
NGC2683    	  9.81	 14.43	172.00	12.00	 25.80	159.52	   2.72
NGC2683    	  9.81	 17.31	190.00	10.00	 25.80	143.29	   0.92
NGC2683    	  9.81	 20.20	169.00	10.00	 23.72	130.86	   0.25
NGC2683    	  9.81	 23.08	150.00	10.00	 20.53	121.26	   0.07
NGC2683    	  9.81	 28.85	160.00	10.00	 17.48	107.36	   0.00
NGC2683    	  9.81	 31.74	155.00	10.00	 16.50	102.03	   0.00
NGC2683    	  9.81	 34.62	151.00	12.00	 15.67	 97.49	   0.00
NGC2841    	 14.10	  3.44	285.00	14.40	 -0.57	163.40	 560.42
NGC2841    	 14.10	  3.77	297.00	13.60	 -0.57	171.13	 537.66
NGC2841    	 14.10	  4.13	303.00	 8.47	 -0.43	180.88	 507.23
NGC2841    	 14.10	  4.47	306.00	 5.93	 -0.10	188.37	 465.98
NGC2841    	 14.10	  4.80	307.00	 5.93	 -0.19	194.64	 438.69
NGC2841    	 14.10	  5.13	304.00	 8.47	 -0.28	200.57	 413.05
NGC2841    	 14.10	  5.48	308.00	 8.47	 -0.38	206.64	 383.91
NGC2841    	 14.10	  5.83	313.00	12.70	 -0.48	211.29	 352.60
NGC2841    	 14.10	  6.16	314.00	 9.32	 -0.53	215.14	 340.73
NGC2841    	 14.10	  6.51	315.00	 6.78	  3.83	221.84	 329.32
NGC2841    	 14.10	  6.86	317.00	 8.47	  8.02	227.72	 300.88
NGC2841    	 14.10	  7.18	320.00	 7.63	 12.15	231.73	 276.70
NGC2841    	 14.10	  7.51	316.00	20.50	 16.24	235.48	 259.76
NGC2841    	 14.10	  7.85	318.00	23.40	 20.27	239.96	 241.28
NGC2841    	 14.10	  8.21	321.00	 8.48	 24.66	243.42	 214.54
NGC2841    	 14.10	  8.57	323.00	 8.66	 27.10	245.15	 187.05
NGC2841    	 14.10	  8.90	321.00	12.70	 29.42	245.80	 167.67
NGC2841    	 14.10	  9.24	323.00	11.00	 31.74	245.24	 150.42
NGC2841    	 14.10	  9.60	323.00	10.40	 34.31	244.14	 136.11
NGC2841    	 14.10	  9.93	322.00	13.60	 36.63	243.64	 126.37
NGC2841    	 14.10	 10.27	321.00	13.60	 38.95	243.60	 118.70
NGC2841    	 14.10	 10.60	323.00	 9.32	 41.02	243.38	 108.16
NGC2841    	 14.10	 10.93	322.00	11.90	 43.22	243.08	  97.33
NGC2841    	 14.10	 11.27	321.00	11.00	 45.42	242.44	  86.07
NGC2841    	 14.10	 12.31	323.00	 4.24	 52.25	237.30	  60.76
NGC2841    	 14.10	 14.35	319.00	 4.24	 56.77	222.06	  30.36
NGC2841    	 14.10	 16.40	308.00	 4.24	 51.89	207.98	  19.68
NGC2841    	 14.10	 18.48	299.00	 5.66	 48.35	196.87	  11.59
NGC2841    	 14.10	 20.57	299.00	 5.66	 54.45	185.72	   7.00
NGC2841    	 14.10	 22.51	298.00	 5.66	 63.61	176.98	   4.66
NGC2841    	 14.10	 24.59	296.00	 5.66	 66.17	168.93	   3.04
NGC2841    	 14.10	 26.68	293.00	 4.24	 61.90	161.21	   1.15
NGC2841    	 14.10	 28.77	289.00	 4.24	 58.85	153.59	   0.69
NGC2841    	 14.10	 30.70	289.00	 4.24	 57.01	147.56	   0.41
NGC2841    	 14.10	 32.79	288.00	 4.24	 57.38	141.95	   0.23
NGC2841    	 14.10	 34.88	285.00	 4.24	 60.43	136.82	   0.13
NGC2841    	 14.10	 36.96	283.00	 2.83	 64.09	132.38	   0.07
NGC2841    	 14.10	 38.90	275.00	 2.83	 66.90	128.66	   0.04
NGC2841    	 14.10	 40.99	272.00	 2.83	 68.61	124.87	   0.02
NGC2841    	 14.10	 43.08	271.00	 2.83	 68.98	121.52	   0.01
NGC2841    	 14.10	 45.16	274.00	 4.24	 67.76	118.47	   0.01
NGC2841    	 14.10	 47.10	277.00	 4.24	 65.19	115.75	   0.00
NGC2841    	 14.10	 49.19	281.00	 4.24	 62.26	113.11	   0.00
NGC2841    	 14.10	 51.27	286.00	 4.24	 60.55	110.59	   0.00
NGC2841    	 14.10	 53.36	282.00	 4.24	 60.55	108.30	   0.00
NGC2841    	 14.10	 55.30	283.00	 4.24	 62.39	106.31	   0.00
NGC2841    	 14.10	 57.38	288.00	 5.66	 64.95	104.23	   0.00
NGC2841    	 14.10	 59.47	287.00	 5.66	 67.27	102.32	   0.00
NGC2841    	 14.10	 61.56	289.00	 7.07	 68.49	100.51	   0.00
NGC2841    	 14.10	 63.64	294.00	 7.07	 68.73	 98.76	   0.00
NGC2903    	  6.60	  0.32	 44.00	 8.00	  0.01	197.82	7393.57
NGC2903    	  6.60	  0.64	 64.00	 8.00	  0.03	204.19	3002.08
NGC2903    	  6.60	  0.96	128.00	 8.00	  0.08	209.11	2411.81
NGC2903    	  6.60	  1.28	148.00	 8.00	  0.07	219.11	1895.47
NGC2903    	  6.60	  1.60	157.00	 8.00	  1.76	225.96	1625.63
NGC2903    	  6.60	  1.92	189.00	 8.00	  5.17	232.02	1474.21
NGC2903    	  6.60	  2.24	195.00	 6.00	  8.23	251.26	1493.06
NGC2903    	  6.60	  2.56	201.00	 6.00	 11.05	278.70	1371.30
NGC2903    	  6.60	  2.88	214.00	 4.00	 13.64	291.79	1009.96
NGC2903    	  6.60	  3.20	215.00	 4.00	 16.01	300.53	 706.79
NGC2903    	  6.60	  3.52	215.00	 4.00	 18.18	298.29	 476.79
NGC2903    	  6.60	  3.84	216.00	 3.00	 20.14	289.57	 365.53
NGC2903    	  6.60	  4.80	214.00	 2.00	 24.78	274.65	 195.17
NGC2903    	  6.60	  5.76	210.00	 2.00	 25.77	255.87	  83.13
NGC2903    	  6.60	  6.72	205.00	 2.00	 24.89	236.77	  50.66
NGC2903    	  6.60	  7.68	203.00	 1.00	 25.19	221.37	  32.24
NGC2903    	  6.60	  8.64	201.00	 1.00	 25.40	209.59	  23.57
NGC2903    	  6.60	  9.60	201.00	 1.00	 27.64	199.24	  14.07
NGC2903    	  6.60	 10.56	199.00	 1.00	 32.70	189.80	  10.06
NGC2903    	  6.60	 11.52	197.00	 1.00	 37.22	181.59	   6.57
NGC2903    	  6.60	 12.48	196.00	 2.00	 37.86	174.10	   4.46
NGC2903    	  6.60	 13.44	193.00	 3.00	 36.33	167.37	   2.89
NGC2903    	  6.60	 14.40	190.00	 3.00	 35.33	161.19	   1.89
NGC2903    	  6.60	 15.36	188.00	 5.00	 35.01	155.25	   1.25
NGC2903    	  6.60	 16.32	187.00	 5.00	 34.43	150.20	   0.83
NGC2903    	  6.60	 17.28	188.00	 3.00	 33.18	145.58	   0.55
NGC2903    	  6.60	 18.24	186.00	 3.00	 32.48	141.36	   0.37
NGC2903    	  6.60	 19.20	185.00	 3.00	 31.94	137.48	   0.24
NGC2903    	  6.60	 20.16	185.00	 3.00	 31.23	133.91	   0.16
NGC2903    	  6.60	 21.12	181.00	 3.00	 30.85	130.60	   0.11
NGC2903    	  6.60	 22.08	178.00	 3.00	 30.69	127.55	   0.07
NGC2903    	  6.60	 23.04	177.00	 3.00	 30.33	124.70	   0.05
NGC2903    	  6.60	 24.00	182.00	 4.00	 30.72	122.05	   0.03
NGC2903    	  6.60	 24.96	180.00	 8.00	 30.86	119.57	   0.00
NGC2915    	  4.06	  0.34	 13.50	10.10	  4.08	 44.78	 329.95
NGC2915    	  4.06	  0.67	 31.30	12.50	  7.65	 48.88	  91.07
NGC2915    	  4.06	  1.00	 35.30	13.40	 10.36	 46.82	  36.28
NGC2915    	  4.06	  1.34	 50.50	 9.38	 11.92	 43.88	  16.86
NGC2915    	  4.06	  1.68	 61.00	10.10	 12.33	 40.74	   8.72
NGC2915    	  4.06	  2.01	 66.50	11.90	 12.44	 38.01	   4.56
NGC2915    	  4.06	  2.34	 74.40	11.60	 12.54	 35.66	   2.91
NGC2915    	  4.06	  2.67	 83.00	 9.17	 12.44	 33.66	   1.60
NGC2915    	  4.06	  3.01	 86.40	 7.66	 12.13	 31.74	   0.88
NGC2915    	  4.06	  3.35	 83.60	 8.18	 12.02	 29.95	   0.43
NGC2915    	  4.06	  3.68	 79.80	 7.93	 12.54	 28.46	   0.24
NGC2915    	  4.06	  4.02	 82.80	 6.95	 13.47	 27.13	   0.13
NGC2915    	  4.06	  4.35	 83.50	 7.19	 14.61	 25.93	   0.07
NGC2915    	  4.06	  4.68	 80.40	 7.85	 15.44	 24.93	   0.04
NGC2915    	  4.06	  5.02	 80.30	 7.57	 15.86	 24.00	   0.02
NGC2915    	  4.06	  5.35	 82.10	 7.92	 15.86	 23.20	   0.01
NGC2915    	  4.06	  5.69	 82.40	 8.33	 15.65	 22.42	   0.01
NGC2915    	  4.06	  6.03	 80.90	 7.88	 15.44	 21.74	   0.00
NGC2915    	  4.06	  6.36	 79.00	 6.15	 15.65	 21.15	   0.00
NGC2915    	  4.06	  6.69	 81.40	 6.11	 16.27	 20.57	   0.00
NGC2915    	  4.06	  7.02	 79.70	 5.59	 17.10	 20.07	   0.00
NGC2915    	  4.06	  7.36	 77.50	 6.33	 17.83	 19.59	   0.00
NGC2915    	  4.06	  7.70	 79.90	 6.41	 17.93	 19.12	   0.00
NGC2915    	  4.06	  8.03	 81.50	 7.86	 18.24	 18.72	   0.00
NGC2915    	  4.06	  8.37	 82.20	 7.82	 18.65	 18.33	   0.00
NGC2915    	  4.06	  8.70	 82.00	 7.09	 18.97	 17.95	   0.00
NGC2915    	  4.06	  9.03	 84.70	 5.74	 19.38	 17.62	   0.00
NGC2915    	  4.06	  9.37	 86.10	 5.54	 19.59	 17.30	   0.00
NGC2915    	  4.06	  9.70	 85.30	 5.23	 19.90	 16.98	   0.00
NGC2915    	  4.06	 10.04	 86.50	 6.45	 19.90	 16.69	   0.00
NGC2955    	 97.90	  0.75	169.00	 4.27	  0.00	 53.73	1391.81
NGC2955    	 97.90	  1.55	203.00	 4.92	  0.16	 99.45	1172.91
NGC2955    	 97.90	  2.30	232.00	 5.49	  0.00	134.15	 999.07
NGC2955    	 97.90	  3.06	256.00	 4.38	  1.12	162.98	 849.17
NGC2955    	 97.90	  3.85	248.00	 3.47	 10.81	187.48	 717.13
NGC2955    	 97.90	  4.61	253.00	 5.68	 18.83	206.85	 606.70
NGC2955    	 97.90	  5.36	269.00	 8.42	 25.11	220.81	 503.20
NGC2955    	 97.90	  6.12	268.00	 4.67	 29.26	232.37	 437.22
NGC2955    	 97.90	  6.91	260.00	 5.58	 31.48	243.48	 380.24
NGC2955    	 97.90	  7.66	245.00	 8.47	 32.44	254.23	 318.50
NGC2955    	 97.90	  8.42	247.00	 6.00	 32.35	258.51	 235.35
NGC2955    	 97.90	  8.86	267.00	10.30	 32.44	258.41	 200.23
NGC2955    	 97.90	  9.21	255.00	 7.27	 32.44	257.39	 180.71
NGC2955    	 97.90	 10.82	253.00	11.20	 33.51	252.03	 131.46
NGC2955    	 97.90	 11.56	271.00	11.30	 34.86	249.34	 112.34
NGC2955    	 97.90	 12.40	276.00	 8.71	 37.47	246.01	 103.42
NGC2955    	 97.90	 14.17	275.00	10.10	 44.03	245.22	  81.02
NGC2955    	 97.90	 16.88	275.00	10.00	 57.16	236.05	  50.98
NGC2955    	 97.90	 19.49	276.00	11.70	 67.40	232.49	  36.11
NGC2955    	 97.90	 22.19	267.00	15.70	 77.25	219.85	  17.62
NGC2955    	 97.90	 24.80	257.00	15.10	 79.95	209.20	  12.80
NGC2955    	 97.90	 27.51	254.00	13.60	 78.21	199.59	   9.61
NGC2955    	 97.90	 30.12	248.00	11.60	 75.51	191.82	   6.70
NGC2955    	 97.90	 35.43	227.00	11.20	 77.83	176.46	   3.71
NGC2976    	  3.58	  0.11	  6.80	 3.62	  1.06	 11.98	 401.24
NGC2976    	  3.58	  0.17	  9.50	 4.31	  1.76	 15.44	 385.05
NGC2976    	  3.58	  0.24	 14.00	 3.11	  2.47	 19.52	 353.55
NGC2976    	  3.58	  0.31	 19.80	 5.50	  2.93	 23.11	 326.80
NGC2976    	  3.58	  0.38	 26.10	 3.90	  3.29	 26.27	 306.50
NGC2976    	  3.58	  0.45	 28.70	 3.50	  3.99	 29.18	 294.93
NGC2976    	  3.58	  0.52	 28.70	 2.70	  4.46	 32.19	 286.81
NGC2976    	  3.58	  0.59	 31.70	 2.50	  4.93	 35.22	 277.28
NGC2976    	  3.58	  0.66	 35.50	 2.30	  5.88	 38.01	 266.34
NGC2976    	  3.58	  0.73	 39.40	 2.10	  6.93	 40.66	 258.37
NGC2976    	  3.58	  0.80	 42.90	 2.30	  7.52	 43.36	 250.06
NGC2976    	  3.58	  0.87	 46.00	 2.60	  8.45	 45.92	 244.56
NGC2976    	  3.58	  0.94	 49.10	 3.10	  9.28	 48.76	 245.53
NGC2976    	  3.58	  1.01	 49.20	 3.20	 10.11	 52.24	 248.27
NGC2976    	  3.58	  1.08	 51.40	 3.20	 11.31	 55.81	 237.88
NGC2976    	  3.58	  1.14	 57.20	 3.10	 13.04	 58.54	 230.00
NGC2976    	  3.58	  1.21	 63.80	 2.90	 15.48	 61.95	 228.85
NGC2976    	  3.58	  1.29	 67.80	 2.80	 17.62	 66.07	 216.32
NGC2976    	  3.58	  1.35	 69.80	 3.30	 19.66	 68.88	 203.26
NGC2976    	  3.58	  1.42	 71.70	 3.90	 21.70	 71.85	 189.42
NGC2976    	  3.58	  1.49	 74.10	 4.40	 23.73	 74.58	 174.06
NGC2976    	  3.58	  1.56	 76.70	 4.80	 25.98	 76.94	 155.41
NGC2976    	  3.58	  1.63	 79.90	 4.40	 27.71	 78.73	 134.59
NGC2976    	  3.58	  1.74	 83.60	 3.35	 30.15	 80.17	  99.94
NGC2976    	  3.58	  1.93	 83.90	 3.95	 29.44	 78.52	  58.42
NGC2976    	  3.58	  2.10	 88.70	 4.44	 29.75	 75.56	  46.09
NGC2976    	  3.58	  2.27	 85.30	 5.36	 29.85	 73.66	  41.53
NGC2998    	 68.10	  0.33	 90.00	20.00	  0.00	 44.56	2070.29
NGC2998    	 68.10	  0.99	125.00	15.00	  0.66	 93.23	1190.44
NGC2998    	 68.10	  1.98	148.00	15.00	  2.66	132.13	 888.44
NGC2998    	 68.10	  2.64	180.00	17.00	  4.03	154.64	 784.11
NGC2998    	 68.10	  3.63	201.00	15.00	  6.22	196.69	 702.55
NGC2998    	 68.10	  7.59	206.00	10.00	 16.84	221.58	 192.87
NGC2998    	 68.10	 12.50	214.00	 5.00	 32.06	213.19	  56.10
NGC2998    	 68.10	 17.48	212.00	 5.00	 44.76	198.92	  17.41
NGC2998    	 68.10	 22.46	213.00	 2.00	 52.43	175.78	  10.54
NGC2998    	 68.10	 27.44	214.00	 2.00	 58.37	162.69	   5.26
NGC2998    	 68.10	 32.32	213.00	 2.00	 63.92	151.18	   2.50
NGC2998    	 68.10	 37.30	213.00	 3.00	 66.04	139.68	   0.96
NGC2998    	 68.10	 42.28	203.00	 3.00	 64.42	130.09	   0.33
NGC3109    	  1.33	  0.26	  6.10	 1.60	  1.00	  2.78	  10.55
NGC3109    	  1.33	  0.52	 11.20	 0.70	  2.12	  4.73	   8.77
NGC3109    	  1.33	  0.77	 14.90	 1.50	  4.53	  7.00	   8.41
NGC3109    	  1.33	  1.03	 19.10	 2.20	  6.54	  8.59	   7.93
NGC3109    	  1.33	  1.29	 24.30	 0.90	  8.22	 10.63	   6.67
NGC3109    	  1.33	  1.55	 29.80	 1.90	 10.06	 11.72	   5.17
NGC3109    	  1.33	  1.81	 34.30	 1.60	 11.73	 12.56	   4.71
NGC3109    	  1.33	  2.06	 38.20	 3.50	 12.92	 13.39	   3.81
NGC3109    	  1.33	  2.32	 42.50	 5.60	 13.76	 13.69	   2.97
NGC3109    	  1.33	  2.58	 42.30	 3.00	 14.44	 13.73	   2.43
NGC3109    	  1.33	  2.84	 47.30	 4.40	 15.04	 13.74	   2.30
NGC3109    	  1.33	  3.10	 49.30	 4.00	 15.37	 14.32	   2.42
NGC3109    	  1.33	  3.35	 50.60	 3.50	 15.75	 15.08	   1.97
NGC3109    	  1.33	  3.61	 53.00	 3.50	 16.29	 15.34	   1.22
NGC3109    	  1.33	  3.87	 54.70	 3.30	 16.37	 14.77	   0.78
NGC3109    	  1.33	  4.13	 55.20	 3.10	 16.42	 14.16	   0.69
NGC3109    	  1.33	  4.38	 57.50	 2.60	 16.88	 13.87	   0.81
NGC3109    	  1.33	  4.64	 59.10	 2.40	 17.22	 13.96	   0.75
NGC3109    	  1.33	  4.90	 61.20	 1.90	 17.66	 14.01	   0.64
NGC3109    	  1.33	  5.16	 62.70	 1.90	 18.09	 14.01	   0.51
NGC3109    	  1.33	  5.42	 64.40	 2.90	 18.73	 13.96	   0.43
NGC3109    	  1.33	  5.67	 66.60	 3.20	 19.30	 13.99	   0.36
NGC3109    	  1.33	  5.93	 66.30	 3.40	 19.36	 13.93	   0.00
NGC3109    	  1.33	  6.19	 66.20	 3.20	 19.43	 13.15	   0.00
NGC3109    	  1.33	  6.45	 67.30	 3.00	 19.41	 12.62	   0.00
NGC3198    	 13.80	  0.32	 24.40	35.90	  0.00	 63.28	1084.92
NGC3198    	 13.80	  0.64	 43.30	16.30	  0.00	 73.66	 590.57
NGC3198    	 13.80	  0.96	 45.50	16.10	  0.00	 78.98	 410.97
NGC3198    	 13.80	  1.28	 58.50	15.40	  0.35	 82.70	 329.34
NGC3198    	 13.80	  1.61	 68.80	 7.61	  0.15	 84.22	 268.62
NGC3198    	 13.80	  1.93	 76.90	10.30	 -0.05	 83.17	 247.67
NGC3198    	 13.80	  2.24	 82.00	 8.09	 -0.47	 87.04	 227.56
NGC3198    	 13.80	  2.57	 86.90	 7.60	 -0.95	 88.91	 205.02
NGC3198    	 13.80	  2.89	 97.60	 3.03	 -1.43	 88.98	 200.20
NGC3198    	 13.80	  3.21	100.00	 5.31	 -1.14	 93.81	 208.58
NGC3198    	 13.80	  3.54	107.00	 7.51	 -0.39	101.22	 208.47
NGC3198    	 13.80	  3.85	113.00	 7.32	  0.36	108.53	 196.07
NGC3198    	 13.80	  4.17	117.00	 5.21	  1.52	115.51	 179.96
NGC3198    	 13.80	  4.50	119.00	 5.67	  3.07	120.51	 164.19
NGC3198    	 13.80	  4.82	127.00	 5.39	  4.63	125.42	 150.99
NGC3198    	 13.80	  5.15	132.00	 4.34	  6.02	129.40	 138.08
NGC3198    	 13.80	  5.46	134.00	 2.36	  7.16	133.15	 126.00
NGC3198    	 13.80	  5.78	137.00	 0.89	  8.31	136.45	 113.63
NGC3198    	 13.80	  6.10	140.00	 2.84	  9.46	139.41	 101.19
NGC3198    	 13.80	  6.43	142.00	 0.88	 10.61	141.85	  86.52
NGC3198    	 13.80	  6.74	144.00	 1.23	 11.77	142.32	  70.23
NGC3198    	 13.80	  7.06	146.00	 1.57	 12.87	140.94	  57.67
NGC3198    	 13.80	  8.04	147.00	 3.00	 16.39	135.68	  40.74
NGC3198    	 13.80	  9.04	148.00	 3.00	 20.03	130.79	  31.83
NGC3198    	 13.80	 10.04	152.00	 2.00	 23.68	128.10	  26.64
NGC3198    	 13.80	 11.04	155.00	 2.00	 27.08	126.67	  21.02
NGC3198    	 13.80	 12.05	156.00	 2.00	 30.11	124.98	  15.42
NGC3198    	 13.80	 14.05	157.00	 2.00	 34.48	118.12	   6.42
NGC3198    	 13.80	 16.07	153.00	 2.00	 36.43	108.22	   2.95
NGC3198    	 13.80	 18.13	153.00	 2.00	 37.76	101.10	   2.39
NGC3198    	 13.80	 20.05	154.00	 2.00	 39.83	 96.40	   1.44
NGC3198    	 13.80	 22.12	153.00	 2.00	 40.92	 91.56	   0.72
NGC3198    	 13.80	 24.03	150.00	 2.00	 41.77	 87.03	   0.28
NGC3198    	 13.80	 26.10	149.00	 2.00	 43.71	 82.67	   0.16
NGC3198    	 13.80	 28.16	148.00	 2.00	 45.41	 79.06	   0.08
NGC3198    	 13.80	 30.08	146.00	 2.00	 45.29	 76.07	   0.04
NGC3198    	 13.80	 32.14	147.00	 2.00	 44.56	 73.27	   0.02
NGC3198    	 13.80	 34.06	148.00	 2.00	 44.81	 70.91	   0.01
NGC3198    	 13.80	 36.12	148.00	 2.00	 45.90	 68.62	   0.01
NGC3198    	 13.80	 38.19	149.00	 2.00	 46.75	 66.59	   0.00
